需求编号,需求层级,所属模块,需求项,需求描述,优先级,验收要点,验收标准,验收方式,验收结果,来源文档,备注
REQ-001,项目概述,项目概况,项目名称,Offerbiu —— 智能求职工作台。面向 2027 届秋招的个人求职工作台，把岗位搜索、简历管理、投递跟踪和 AI 辅助优化整合为一体化求职管理平台。,必做,—,项目名称与定位在主页、工作台、需求文档中表述一致，品牌名为 Offerbiu。,文档核对,未验收,需求文档 1.1,品牌主页与工作台均使用 Offerbiu 名称
REQ-002,项目概述,项目概况,项目背景与痛点,秋招期间学生需同时维护：多平台岗位信息、多版本简历、投递记录、面试时间安排、岗位匹配分析。传统方式依赖 Excel、浏览器收藏夹和多个招聘网站，存在四类问题：岗位信息分散、投递状态难追踪、简历修改效率低、缺少针对岗位的优化建议。,必做,—,平台能一站式覆盖岗位检索、简历管理、投递跟踪、AI 优化四类诉求。,功能走查,未验收,需求文档 1.2,交付目标为一体化求职管理平台
REQ-003,用户需求,目标用户,应届毕业生,核心用户。使用需求：搜索岗位、管理投递、优化简历。,必做,A2 / A3 / A4,应届毕业生可独立完成「浏览岗位 → 收藏投递 → 维护简历」主流程。,角色走查,未验收,需求文档 2.1,—
REQ-004,用户需求,目标用户,求职学生,使用需求：跟踪招聘流程（投递状态、时间节点）。,必做,A4 / A6,可跟踪每条投递的当前状态与后续计划，并可在日程中看到时间节点。,角色走查,未验收,需求文档 2.1,—
REQ-005,用户需求,目标用户,技术岗求职者,使用需求：根据岗位 JD 优化简历。,重要,A7,可选择目标岗位 JD 与简历段落，生成并采纳优化建议。,角色走查,未验收,需求文档 2.1,对应 AI 简历优化模块
REQ-006,用户需求,目标用户,高校就业指导人员,使用需求：提供就业管理辅助。,可选,—,可查看集中化岗位库并用于就业指导；文档未要求独立管理端或后台。,角色走查,未验收,需求文档 2.1,需求分析文档将用户角色收敛为「求职者 + 维护者」两类，未再单列该角色
REQ-007,用户需求,用户角色,维护者角色,维护者负责：启动服务、采集岗位数据、备份 storage 目录。,重要,A1 / A8,维护者可按文档完成启动、岗位采集与 storage 目录备份。,角色走查,未验收,需求分析 二,需求分析文档新增的角色，需求文档未定义
REQ-008,系统目标,系统目标,岗位信息集中管理,把分散在多个入口的校招岗位集中到统一岗位库中管理。,必做,A3,岗位库集中展示多企业、多来源岗位，字段统一。,功能走查,未验收,需求文档 3.1,—
REQ-009,系统目标,系统目标,用户求职流程数字化,把投递记录、进度状态、跟进计划从 Excel / 收藏夹迁移到系统内。,必做,A4,投递清单与状态可在线维护并持久保存。,功能走查,未验收,需求文档 3.1,—
REQ-010,系统目标,系统目标,简历在线编辑与版本管理,支持在线编辑简历并保留版本历史。,必做,A5,简历可在线编辑、保存、恢复历史版本。,功能走查,未验收,需求文档 3.1,—
REQ-011,系统目标,系统目标,AI 辅助简历优化,借助大语言模型对简历内容做针对性优化。,重要,A7,可按目标岗位生成优化建议并由用户手动采纳。,功能走查,未验收,需求文档 3.1,—
REQ-012,系统目标,系统目标,求职任务时间管理,管理笔试、面试、截止日期与跟进事项。,重要,A6,日程可增删改并标记完成状态。,功能走查,未验收,需求文档 3.1,—
